ترم ارائه درس,دانشكده درس,دانشكده درس,گروه آموزشي درس,گروه آموزشي درس,شماره و گروه درس,نام درس,كل,ع,ظر فيت,ثبت نام شده,تعداد ليست انتظار,جنس,نام استاد,زمان و مكان ارائه,زمان و مكان امتحان,محدوديت اخذ,مخصوص ورودي,دروس اجبار/متضاد,نحوه ارائه درس,دوره درس,امكان حذف اضطراري,امكان اخذ توسط مهمان,توضيحات
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211029_01,كارگاه برق,1,1,20,20,0,مختلط,چوپانكاره عباسعليميرشفيعي سيدمحمدعلي,درس(ع): شنبه      13:00-16:00 مکان: دانشكده برق (كارگاه برق) كارگاه برق,تاريخ: 1402/03/17  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده فيزيك، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211029_02,كارگاه برق,1,1,20,16,0,مختلط,چوپانكاره عباسعليميرشفيعي سيدمحمدعلي,درس(ع): سه شنبه   13:00-16:00 مکان: دانشكده برق (كارگاه برق) كارگاه برق,تاريخ: 1402/03/17  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده فيزيك، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211029_03,كارگاه برق,1,1,20,20,0,مختلط,چوپانكاره عباسعليميرشفيعي سيدمحمدعلي,درس(ع): سه شنبه   09:00-12:00 مکان: دانشكده برق (كارگاه برق) كارگاه برق,تاريخ: 1402/03/17  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211029_04,كارگاه برق,1,1,20,20,0,مختلط,چوپانكاره عباسعليميرشفيعي سيدمحمدعلي,درس(ع): چهارشنبه  09:00-12:00 مکان: دانشكده برق (كارگاه برق) كارگاه برق,تاريخ: 1402/03/17  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211029_05,كارگاه برق,1,1,20,20,0,مختلط,چوپانكاره عباسعليميرشفيعي سيدمحمدعلي,درس(ع): چهارشنبه  13:00-16:00 مکان: دانشكده برق (كارگاه برق) كارگاه برق,تاريخ: 1402/03/17  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211030_01,نقشه كشي صنعتي برق 1,1,1,23,22,0,مختلط,سليماني اسماء,درس(ع): يك شنبه   13:30-16:30 مکان: دانشكده مكانيك كلاس شماره 109,تاريخ: 1402/03/20  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211030_02,نقشه كشي صنعتي برق 1,1,1,23,23,0,مختلط,صفري حميدرضا,درس(ع): دوشنبه    09:00-12:00 مکان: دانشكده مكانيك كلاس شماره 109,تاريخ: 1402/03/20  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211030_03,نقشه كشي صنعتي برق 1,1,1,23,22,0,مختلط,مهرباني محبوبه,درس(ع): سه شنبه   13:30-16:30 مکان: دانشكده مكانيك كلاس شماره 109,تاريخ: 1402/03/21  ساعت: 08:30-10:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211030_04,نقشه كشي صنعتي برق 1,1,1,23,23,0,مختلط,نوحي حفظ آباد روزبه,درس(ع): چهارشنبه  09:00-12:00 مکان: دانشكده مكانيك كلاس شماره 109,تاريخ: 1402/03/20  ساعت: 11:00-13:00,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,اين گروه درسي توسط مهندس مجتبي جوهري مقدم ارائه خواهد شد.
4012,12,مهندسي برق,11,واحد آموزش كارشناسي,1211033_01,آزمايشگاه الكترونيك1,1,1,12,8,0,مختلط,حبيبي دهكا ژاله,درس(ع): شنبه      09:00-11:00 مکان: دانشكده برق (شهيد چمران) آزمايشگاه الكترونيك 1,تاريخ: 1402/03/16  ساعت: 13:30-15:30,مجاز براي مقطع كارشناسي، دانشکده مهندسي برق، گروه آموزشي واحد آموزش كارشناسي،,بي اثر,ندارد,عادي,روزانه,خير,بله,
